"Título","Coordenador","Área","Tipo","Formação","Carreira","Processo SEI","Ano"
"PRODUÇÃO DE MUDAS DE Tecoma stans (L.) Juss ex. Kenth SOB DIFERENTES NÍVEIS DE SOMBREAMENTO E SUBSTRATOS","Marília Dutra Massad","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.003674/2023-60",2023
"ELABORAÇÃO DE IOGURTE DO TIPO GREGO SABORIZADO COM FRUTOS DO CERRADO","Joyce de Sousa Moreno","Ciências Agrárias","Inovação","Mestrado","Docente","23396.001586/2023-23",2023
"Modelagem genético-nebulosa da relação entre variáveis ambientais e a temperatura retal de frangos de corte","Alison Zille Lopes","Ciências Exatas e da Terra","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.004281/2023-73",2023
"Inteligências Múltiplas no Projeto Existencial de emancipação do sujeito","Admilson Eustáquio Prates","Ciências Humanas","Inovação","Doutorado","Docente","23396.004398/2023-57",2023
"Suplementação a Pasto de Bezerros de Corte com Ração Peletizada de Palma Forrageira","Antônio Eustáquio Filho","Ciências Agrárias","Inovação","Doutorado","Docente","23396.004160/2023-21
23396.000191/2025-75",2023
"Resistência e protagonismo: a luta das mulheres indígenas em manter viva a memória cultural do seu povo","Romana Tatiane Soares Santos","Lingüística","Desenvolvimento Científico/Tecnológico","Mestrado","Docente","23396.001644/2023-19",2023
"DESENVOLVIMENTO DE PRODUTOS DESIDRATADOS DE BATATA-DOCE COMO ALTERNATIVAS SAUDÁVEIS E ENERGÉTICAS EM EMBALAGENS INOVADORAS","Felipe Cimino Duarte","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001584/2023-34",2023
"Caraterização físico-química e comportamento higroscópico do maracujá desidratado por liofilização e secagem em camada de espuma","Isis Celena Amaral","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.004573/2023-14",2023
"LEVEDURAS ISOLADAS DE DORNAS DE CACHAÇA PARA PRODUÇÃO DE CERVEJA","Marcos de Oliveira","Ciências Biológicas","Inovação","Doutorado","Docente","23396.004538/2023-97",2023
"Desenvolvimento de aplicativo de celular inovador para o manejo populacional ético de cães em condição de vulnerabilidade no município de Salinas/MG","Aníbal Souza Felipe da Silva","Ciências Exatas e da Terra","Inovação","Doutorado","TAE","23396.004586/2023-85",2023
"ASSISTÊNCIA ESTUDANTIL: POR DENTRO DA POLÍTICA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS","Admilson Eustáquio Prates","Ciências Humanas","Inovação","Doutorado","Docente","23396.004843/2022-06",2022
"FITOSSOCIOLOGIA EM ÁREAS DE PRESERVAÇÃO PERMANENTE FLUVIAL E ALTERNATIVAS PARA CONTROLE DE LEUCENA (Leucaena leucocephala) NO MUNICÍPIO DE SALINAS, MG","Alessandro de Paula Silva","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001006/2022-17",2022
"LITERATURA E ARGUMENTAÇÃO: UM OLHAR PARA A REDAÇÃO DO ENEM","Alex Sander Luiz Campos","Ciências Sociais Aplicadas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000901/2022-14",2022
"AVALIAÇÃO DE BEM-ESTAR ANIMAL E ESTADO REPRODUTIVO DE FÊMEAS LEPORíDEAS DO SETOR DE CUNICULTURA DO IFNMG – CAMPUS SALINAS","Ana Carolina Leite","Ciências Biológicas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000833/2022-93",2022
"DESEMPENHO E COMPORTAMENTO INGESTIVO DE BOVINOS DE CORTE ALIMENTADOS COM O FARELO DE PALMA FORRAGEIRA EM SUBSTITUIÇÃO AO MILHO GRÃO.","ANTÔNIO EUSTÁQUIO FILHO","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.002215/2022-88",2022
"Aplicativo mobile para auxiliar no manejo de cocho de bovinos confinados.","ANTÔNIO EUSTÁQUIO FILHO","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.002430/2022-89",2022
"PROJETO DE SOFTWARE DE UM CHATBOT PARA COMUNICAÇÃO COM ALUNOS DO IFNMG – CAMPUS SALINAS","Arthur Faria Porto","Ciências Exatas e da Terra","Inovação","Mestrado","Docente","23396.001007/2022-61",2022
"Framework para o ensino de computação gráfica: abstração da complexidade de software no contexto do ensino superior","Caio Henriques Sica Lamas","Ciências Exatas e da Terra","Inovação","Mestrado","Docente","23396.004166/2022-18",2022
"Blend de óleo essencial de coentro (Coriandrum sativum) e orégano (Origanum vulgare) potencializando o efeito antimicrobiano da carne bovina in natura.","Isis Celena Amaral","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000879/2022-11",2022
"DIAGNÓSTICO DA QUALIDADE DA ÁGUA NO RIO SALINAS/MG","Jane Bruna de Almeida","Ciências Exatas e da Terra","Desenvolvimento Científico/Tecnológico","Mestrado","Docente","23396.000989/2022-74",2022
"Desenvolvimento de meio diluente à base de água de coco in natura para diluição e criopresevação de sêmen de coelhos (Oryctolagus cuniculus)","Júlio César Oliveira Dias","Ciências Agrárias","Inovação","Doutorado","Docente","23396.003115/2022-79",2022
"Software Bot para Notificações e Registro de Ocorrências relacionadas à Covid-19","Leonardo Humberto Guimarães Silva","Ciências Exatas e da Terra","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000864/2022-44",2022
"A relevância da time geography para a compreensão dos fatos sociais e educacionais","Leonardo Luiz Silveira da Silva","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000194/2022-66",2022
"A RELEVÂNCIA DA TIME GEOGRAPHY PARA A COMPREENSÃO DOS FATOS SOCIAIS E EDUCACIONAIS: APLICANDO OS FUNDAMENTOS DA TEORIA","Leonardo Luiz Silveira da Silva","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000817/2022-09",2022
"UTILIZAÇÃO DO RESÍDUO DA MANDIOCA PARA A PRODUÇÃO DE MUDAS DE ESPÉCIES FLORESTAIS","Marília Dutra Massad","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.004337/2022-17",2022
"O Trabalho como Princípio Educativo: concepções discentes sobre o Ensino Médio Integrado à Educação Profissional e Tecnológica.","Ricardo dos Santos Silva","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000799/2022-57",2022
"Desempenho de bezerras de corte desmamadas submetidas ao manejo de suplementação a pasto","Susi Cristina dos Santos Guimarães Martins","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","TAE","23396.002906/2022-81",2022
"Ensino de Física através de uma abordagem com enfoque CTS&A","Alisson Marques de Miranda","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.002908/2021-90",2021
"SAÚDE MENTAL E EVASÃO ESCOLAR NA EDUCAÇÃO PROFISSIONAL TECNOLÓGICA: IMPACTOS DO ADOECIMENTO DOS ESTUDANTES DO ENSINO MÉDIO INTEGRADO DO IFNMG CAMPUS SALINAS","Renata Xavier Castro","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Especialista","Docente","23396.003211/2021-36",2021
"REVESTIMENTO COMESTÍVEL À BASE AMIDO DE MANDIOCA E FARELO DA CASCA DE MARACUJÁ DO CAMPO, ENRIQUECIDO COM ÓLEO ESSENCIAL DE CRAVO-DA-ÍNDIA (Syzygium aromaticum), NA CONSERVAÇÃO DA GOIABA (Psidium guajava)","Isis Celena Amaral","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000514/2021-05",2021
"REGISTRO AUTOMÁTICO DE ACESSO DE VEÍCULOS NO IFNMG CAMPUS SALINAS UTILIZANDO IMAGENS PARA DETECÇÃO DE PLACA VEICULAR - ETAPA II","Arthur Faria Porto","Ciências Exatas e da Terra","Desenvolvimento Científico/Tecnológico","Mestrado","TAE","23396.000594/2021-91",2021
"EXTRAÇÃO DE PECTINA DE CLADÓDIOS DE PALMA (Opuntia fícus-indica) E ELABORAÇÃO DE GELEIA DE MARACUJÁ","Edilene Alves Barbosa","Ciências Agrárias","Inovação","Doutorado","Docente","23396.000581/2021-11",2021
"Ensino de Física através de uma abordagem com enfoque CTS&A","Alisson Marques de Miranda","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.002908/2021-90",2021
"SAÚDE MENTAL E EVASÃO ESCOLAR NA EDUCAÇÃO PROFISSIONAL TECNOLÓGICA: IMPACTOS DO ADOECIMENTO DOS ESTUDANTES DO ENSINO MÉDIO INTEGRADO DO IFNMG CAMPUS SALINAS","Renata Xavier Castro","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Especialista","Docente","23396.003211/2021-36",2021
"REVESTIMENTO COMESTÍVEL À BASE AMIDO DE MANDIOCA E FARELO DA CASCA DE MARACUJÁ DO CAMPO, ENRIQUECIDO COM ÓLEO ESSENCIAL DE CRAVO-DA-ÍNDIA (Syzygium aromaticum), NA CONSERVAÇÃO DA GOIABA (Psidium guajava)","Isis Celena Amaral","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000514/2021-05",2021
"REGISTRO AUTOMÁTICO DE ACESSO DE VEÍCULOS NO IFNMG CAMPUS SALINAS UTILIZANDO IMAGENS PARA DETECÇÃO DE PLACA VEICULAR - ETAPA II","Arthur Faria Porto","Ciências Exatas e da Terra","Desenvolvimento Científico/Tecnológico","Mestrado","TAE","23396.000594/2021-91",2021
"EXTRAÇÃO DE PECTINA DE CLADÓDIOS DE PALMA (Opuntia fícus-indica) E ELABORAÇÃO DE GELEIA DE MARACUJÁ","Edilene Alves Barbosa","Ciências Agrárias","Inovação","Doutorado","Docente","23396.000581/2021-11",2021
"Ensino de Física através de uma abordagem com enfoque CTS&A","Alisson Marques de Miranda","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.002908/2021-90",2021
"SAÚDE MENTAL E EVASÃO ESCOLAR NA EDUCAÇÃO PROFISSIONAL TECNOLÓGICA: IMPACTOS DO ADOECIMENTO DOS ESTUDANTES DO ENSINO MÉDIO INTEGRADO DO IFNMG CAMPUS SALINAS","Renata Xavier Castro","Ciências Humanas","Desenvolvimento Científico/Tecnológico","Especialista","Docente","23396.003211/2021-36",2021
"REVESTIMENTO COMESTÍVEL À BASE AMIDO DE MANDIOCA E FARELO DA CASCA DE MARACUJÁ DO CAMPO, ENRIQUECIDO COM ÓLEO ESSENCIAL DE CRAVO-DA-ÍNDIA (Syzygium aromaticum), NA CONSERVAÇÃO DA GOIABA (Psidium guajava)","Isis Celena Amaral","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.000514/2021-05",2021
"REGISTRO AUTOMÁTICO DE ACESSO DE VEÍCULOS NO IFNMG CAMPUS SALINAS UTILIZANDO IMAGENS PARA DETECÇÃO DE PLACA VEICULAR - ETAPA II","Arthur Faria Porto","Ciências Exatas e da Terra","Desenvolvimento Científico/Tecnológico","Mestrado","TAE","23396.000594/2021-91",2021
"EXTRAÇÃO DE PECTINA DE CLADÓDIOS DE PALMA (Opuntia fícus-indica) E ELABORAÇÃO DE GELEIA DE MARACUJÁ","Edilene Alves Barbosa","Ciências Agrárias","Inovação","Doutorado","Docente","23396.000581/2021-11",2021
